,8,9,10,11
90,26,25,25,21
89,25,,,
88,,24,24,20
87,24,,,
86,,23,23,
85,23,,,19
84,,22,22,
83,22,,,18
82,,21,21,
81,21,,,
80,,,20,17
79,20,20,,
78,,,19,16
77,19,19,,
76,,,18,
75,18,18,,15
74,,,17,
73,17,17,,14
72,,,16,
71,16,16,,
70,,,15,13
69,15,15,,
68,,,14,12
67,14,14,,
66,,,13,
65,13,13,,11
64,,,,
63,12,12,12,10
62,,,,
61,11,11,11,
60,,,,9
59,10,10,10,
58,,,,8
57,9,9,9,
56,,,,
55,8,8,8,7
54,,,,
53,7,7,7,6
52,,,,
51,6,6,6,
50,,,,5
49,5,5,5,
48,,,,4
47,4,4,4,
46,,,,
45,3,3,3,3
44,,,,
43,2,2,2,2
42,,,,
41,1,,1,
40,0,1,0,1
